sample	Pteromalidae	Formicidae	Halictidae	Apidae	Braconidae	Diprionidae	Figitidae	Bethylidae	Ichneumonidae	Cynipidae	Vespidae	Eupelmidae	Tenthredinidae	Dryinidae	Agaonidae	Eurytomidae	Ampulicidae	Scelionidae	Aphelinidae	Megachilidae	Mymaridae	Platygastridae	Trichogrammatidae	Eulophidae	Papilionidae	Andrenidae	Colletidae	Cephidae	Diapriidae	Encyrtidae	Torymidae	Ormyridae	Megastigmidae	Crabronidae	Pompilidae	Melittidae	Athaliidae	Tiphiidae	Gasteruptiidae	Chalcididae	Orussidae
Megachilidae	0.44373	0.57907	0.55256	0.72254	1.10733	0.2237	0.40156	0.91139	0.61814	0.83275	0.46211	0.39048	0.3802	NA	0.54752	0.35503	NA	0.63161	0.66277	0	NA	0.45354	0.37783	0.42337	NA	0.45993	0.56665	0.34755	0.42423	0.45934	0.31266	0.28238	0.29359	0.62421	0.32002	NA	0.23771	0.3086	0.25449	0.24157	NA
Mymaridae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Platygastridae	0.55186	0.54936	0.38255	0.47198	1.09932	0.40435	0.51246	0.75205	0.65895	1.02168	0.49686	0.52596	0.50858	NA	0.67706	0.45978	NA	0.7724	0.70458	0.45354	NA	0	0.63822	0.68151	NA	0.48059	0.56816	0.64557	0.71196	0.74622	0.52256	0.57611	0.57969	0.31593	0.5541	NA	0.49992	0.5454	0.56679	0.60262	NA
Trichogrammatidae	0.58834	0.5283	0.41293	0.45327	1.15242	0.3061	0.45353	0.77594	0.59613	1.03983	0.4708	0.50418	0.45331	NA	0.73388	0.46473	NA	0.67918	0.71361	0.37783	NA	0.63822	0	0.62028	NA	0.4088	0.39254	0.45128	0.56205	0.69781	0.44046	0.4452	0.47289	0.20343	0.35812	NA	0.31555	0.35084	0.3483	0.41933	NA
Eulophidae	0.66274	0.58121	0.46397	0.48128	1.15156	0.33408	0.48261	0.8138	0.70401	1.10753	0.52112	0.5632	0.48184	NA	0.81166	0.53574	NA	0.71051	0.82755	0.42337	NA	0.68151	0.62028	0	NA	0.53822	0.53165	0.60189	0.65637	0.74863	0.62922	0.47225	0.50807	0.33601	0.36471	NA	0.41567	0.36508	0.35833	0.43099	NA
Papilionidae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Andrenidae	0.38493	0.53587	0.49118	0.64533	0.94937	0.17541	0.34067	0.88147	0.55323	0.62435	0.39292	0.35369	0.32833	NA	0.51968	0.31388	NA	0.46286	0.65882	0.45993	NA	0.48059	0.4088	0.53822	NA	0	0.43285	0.26475	0.34825	0.39596	0.23986	0.19689	0.21354	0.51275	0.18713	NA	0.152	0.18298	0.15527	0.15208	NA
Colletidae	0.4675	0.58266	0.59878	0.70802	1.23659	0.21823	0.3932	0.81765	0.63725	1.12371	0.45186	0.37562	0.37825	NA	0.5982	0.34076	NA	0.67178	0.5794	0.56665	NA	0.56816	0.39254	0.53165	NA	0.43285	0	0.33952	0.41354	0.54128	0.29118	0.25253	0.26523	0.57729	0.27234	NA	0.19927	0.26181	0.22448	0.21368	NA
Cephidae	0.42994	0.5031	0.35789	0.4623	1.06274	0.20612	0.37062	0.89918	0.62295	0.70089	0.3864	0.38379	0.40083	NA	0.57482	0.33343	NA	0.63982	0.69514	0.34755	NA	0.64557	0.45128	0.60189	NA	0.26475	0.33952	0	0.36913	0.41889	0.26288	0.2145	0.24136	0.30702	0.1864	NA	0.1928	0.1794	0.1775	0.18107	NA
Diapriidae	0.59431	0.56204	0.34203	0.43631	1.17601	0.31491	0.51718	0.71372	0.69894	1.16182	0.49018	0.51248	0.47516	NA	0.74083	0.49748	NA	0.73998	0.77808	0.42423	NA	0.71196	0.56205	0.65637	NA	0.34825	0.41354	0.36913	0	0.70122	0.55851	0.39862	0.45032	0.22259	0.33002	NA	0.38023	0.32657	0.32848	0.37821	NA
Encyrtidae	0.67263	0.59728	0.47882	0.48622	1.13398	0.40913	0.52891	0.82946	0.71331	1.06452	0.54499	0.6528	0.53345	NA	0.80719	0.60216	NA	0.72365	0.8496	0.45934	NA	0.74622	0.69781	0.74863	NA	0.39596	0.54128	0.41889	0.70122	0	0.61735	0.74268	0.77427	0.30885	0.60742	NA	0.49825	0.58984	0.59579	0.76841	NA
Torymidae	0.63547	0.47338	0.25455	0.34237	1.18322	0.20006	0.37888	0.70387	0.62161	1.10369	0.39307	0.46366	0.36518	NA	0.76112	0.43473	NA	0.63985	0.64417	0.31266	NA	0.52256	0.44046	0.62922	NA	0.23986	0.29118	0.26288	0.55851	0.61735	0	0.30074	0.32675	0.15781	0.17281	NA	0.16202	0.17171	0.1746	0.23099	NA
Ormyridae	0.63354	0.44219	0.30584	0.3883	1.26114	0.14128	0.33173	0.52537	0.60107	1.19545	0.34109	0.44937	0.32693	NA	0.80307	0.41513	NA	0.62913	0.77132	0.28238	NA	0.57611	0.4452	0.47225	NA	0.19689	0.25253	0.2145	0.39862	0.74268	0.30074	0	0.24269	0.33166	0.0885	NA	0.09589	0.08304	0.0873	0.11484	NA
Megastigmidae	0.64172	0.46111	0.32613	0.32669	1.18888	0.16836	0.35736	0.55503	0.62143	1.20062	0.38203	0.47582	0.34278	NA	0.83285	0.3967	NA	0.50574	0.79102	0.29359	NA	0.57969	0.47289	0.50807	NA	0.21354	0.26523	0.24136	0.45032	0.77427	0.32675	0.24269	0	0.14198	0.12061	NA	0.12538	0.11849	0.11955	0.15873	NA
Crabronidae	0.31568	0.46383	0.58679	0.65917	0.51751	0.38231	0.25926	0.41925	0.47446	0.43638	0.48563	0.18756	0.52539	NA	0.34422	0.21886	NA	0.32155	0.2591	0.62421	NA	0.31593	0.20343	0.33601	NA	0.51275	0.57729	0.30702	0.22259	0.30885	0.15781	0.33166	0.14198	0	0.77952	NA	0.5019	0.75734	0.5826	0.23008	NA
Pompilidae	0.42806	0.5086	0.33388	0.45094	1.33727	0.09419	0.2924	0.52021	0.62119	1.23131	0.35472	0.28703	0.28479	NA	0.62486	0.23141	NA	0.62244	0.6349	0.32002	NA	0.5541	0.35812	0.36471	NA	0.18713	0.27234	0.1864	0.33002	0.60742	0.17281	0.0885	0.12061	0.77952	0	NA	0.04275	0.03088	0.03315	0.03748	NA
Melittidae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0	NA	NA	NA	NA	NA
Athaliidae	0.37976	0.37786	0.24758	0.33946	1.3242	0.14338	0.28411	0.5705	0.55171	1.07157	0.30249	0.26172	0.48397	NA	0.56252	0.19953	NA	0.61872	0.52183	0.23771	NA	0.49992	0.31555	0.41567	NA	0.152	0.19927	0.1928	0.38023	0.49825	0.16202	0.09589	0.12538	0.5019	0.04275	NA	0	0.03896	0.05011	0.05396	NA
Tiphiidae	0.41931	0.49996	0.3314	0.44062	1.28988	0.08696	0.29168	0.51351	0.60389	1.221	0.35182	0.28489	0.27142	NA	0.61156	0.22361	NA	0.60541	0.62455	0.3086	NA	0.5454	0.35084	0.36508	NA	0.18298	0.26181	0.1794	0.32657	0.58984	0.17171	0.08304	0.11849	0.75734	0.03088	NA	0.03896	0	0.02828	0.03361	NA
Gasteruptiidae	0.40365	0.40097	0.26813	0.35238	1.37039	0.09815	0.2933	0.4689	0.58308	1.16954	0.30806	0.28422	0.29837	NA	0.61554	0.22704	NA	0.61896	0.6056	0.25449	NA	0.56679	0.3483	0.35833	NA	0.15527	0.22448	0.1775	0.32848	0.59579	0.1746	0.0873	0.11955	0.5826	0.03315	NA	0.05011	0.02828	0	0.0403	NA
Chalcididae	0.55658	0.43878	0.27349	0.32252	1.44816	0.10778	0.32757	0.48575	0.64307	1.2576	0.35431	0.38898	0.33023	NA	0.83021	0.30489	NA	0.70506	0.76013	0.24157	NA	0.60262	0.41933	0.43099	NA	0.15208	0.21368	0.18107	0.37821	0.76841	0.23099	0.11484	0.15873	0.23008	0.03748	NA	0.05396	0.03361	0.0403	0	NA
Orussidae	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0
